unit_code,category_cd,School_Name,Lea_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_lateral_teach_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
780402,H,South Robeson High,Robeson County Schools,0.715,0.23800000000000002,0.16699999999999998,0.595,42.0,2.0,0.23800000000000002,0.222,0.285,0.821,0.196,0.292,0.511,63.0,3.0,0.244,0.135,0.177,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Robeson County Schools,South Robeson High,ENROLL,ALL,All Students (Total or Subtotal,45.0,734.0,51362.0,43.269230769230795,46.72183322724379,51.988460954501704
780420,H,Purnell Swett High,Robeson County Schools,0.8340000000000001,0.22899999999999998,0.271,0.5,96.0,2.0,0.271,0.106,0.156,0.821,0.196,0.292,0.511,63.0,3.0,0.244,0.135,0.177,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Robeson County Schools,Purnell Swett High,ENROLL,ALL,All Students (Total or Subtotal,213.0,734.0,51362.0,52.5925925925926,46.72183322724379,51.988460954501704
790314,H,Dalton McMichael High,Rockingham County Schools,0.8490000000000001,0.226,0.20800000000000002,0.5660000000000001,53.0,4.0,0.264,0.196,0.132,0.867,0.17300000000000001,0.204,0.622,45.0,4.0,0.209,0.22,0.12,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rockingham County Schools,Dalton McMichael High,ENROLL,ALL,All Students (Total or Subtotal,111.0,462.0,51362.0,47.63948497854079,51.106194690265504,51.988460954501704
790354,H,John M Morehead High,Rockingham County Schools,0.875,0.20800000000000002,0.20800000000000002,0.583,48.0,1.0,0.16699999999999998,0.264,0.083,0.867,0.17300000000000001,0.204,0.622,45.0,4.0,0.209,0.22,0.12,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rockingham County Schools,John M Morehead High,ENROLL,ALL,All Students (Total or Subtotal,102.0,462.0,51362.0,51.25628140703521,51.106194690265504,51.988460954501704
790366,H,Reidsville High,Rockingham County Schools,0.8490000000000001,0.20800000000000002,0.20800000000000002,0.585,53.0,2.0,0.226,0.278,0.151,0.867,0.17300000000000001,0.204,0.622,45.0,4.0,0.209,0.22,0.12,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rockingham County Schools,Reidsville High,ENROLL,ALL,All Students (Total or Subtotal,75.0,462.0,51362.0,44.9101796407186,51.106194690265504,51.988460954501704
790378,H,Rockingham County High,Rockingham County Schools,0.9179999999999999,0.066,0.16399999999999998,0.77,61.0,11.0,0.18,0.133,0.08199999999999999,0.867,0.17300000000000001,0.204,0.622,45.0,4.0,0.209,0.22,0.12,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rockingham County Schools,Rockingham County High,ENROLL,ALL,All Students (Total or Subtotal,138.0,462.0,51362.0,55.6451612903226,51.106194690265504,51.988460954501704
790379,H,Rockingham Co Early College High,Rockingham County Schools,0.7,0.2,0.4,0.4,10.0,1.0,0.2,0.33299999999999996,0.3,0.867,0.17300000000000001,0.204,0.622,45.0,4.0,0.209,0.22,0.12,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rockingham County Schools,Rockingham Co Early College High,ENROLL,ALL,All Students (Total or Subtotal,36.0,462.0,51362.0,63.157894736842096,51.106194690265504,51.988460954501704
800308,T,Henderson High,Rowan-Salisbury Schools,0.643,0.429,0.14300000000000002,0.429,14.0,0.0,0.214,0.5,0.28600000000000003,0.643,0.429,0.14300000000000002,0.429,14.0,0.0,0.214,0.5,0.28600000000000003,0.852,0.215,0.237,0.5479999999999999,24.0,2.0,0.312,0.16699999999999998,0.004,0.10099999999999999,Rowan-Salisbury Schools,Henderson High,ENROLL,ALL,All Students (Total or Subtotal,,669.0,51362.0,37.5,48.4431571325127,51.988460954501704
800340,H,East Rowan High,Rowan-Salisbury Schools,0.813,0.21899999999999997,0.156,0.625,64.0,8.0,0.188,0.18899999999999997,0.156,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,East Rowan High,ENROLL,ALL,All Students (Total or Subtotal,131.0,669.0,51362.0,53.6885245901639,48.4431571325127,51.988460954501704
800361,H,Carson High,Rowan-Salisbury Schools,0.872,0.239,0.268,0.493,71.0,9.0,0.21100000000000002,0.14,0.128,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,Carson High,ENROLL,ALL,All Students (Total or Subtotal,135.0,669.0,51362.0,52.1235521235521,48.4431571325127,51.988460954501704
800376,H,North Rowan High,Rowan-Salisbury Schools,0.888,0.267,0.222,0.511,45.0,1.0,0.2,0.165,0.09,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,North Rowan High,ENROLL,ALL,All Students (Total or Subtotal,60.0,669.0,51362.0,37.9746835443038,48.4431571325127,51.988460954501704
800394,H,Rowan Co Early College,Rowan-Salisbury Schools,1.0,0.0,0.25,0.75,8.0,4.0,0.5,0.125,,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,Rowan Co Early College,ENROLL,ALL,All Students (Total or Subtotal,26.0,669.0,51362.0,56.5217391304348,48.4431571325127,51.988460954501704
800396,H,Salisbury High,Rowan-Salisbury Schools,0.846,0.237,0.203,0.5589999999999999,59.0,6.0,0.322,0.267,0.13699999999999998,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,Salisbury High,ENROLL,ALL,All Students (Total or Subtotal,80.0,669.0,51362.0,49.68944099378879,48.4431571325127,51.988460954501704
800400,H,South Rowan High,Rowan-Salisbury Schools,0.9159999999999999,0.16699999999999998,0.25,0.583,60.0,6.0,0.183,0.149,0.084,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,South Rowan High,ENROLL,ALL,All Students (Total or Subtotal,114.0,669.0,51362.0,46.530612244898,48.4431571325127,51.988460954501704
800408,H,West Rowan High,Rowan-Salisbury Schools,0.857,0.26899999999999996,0.11900000000000001,0.612,67.0,6.0,0.16399999999999998,0.08199999999999999,0.09,0.867,0.22699999999999998,0.203,0.57,53.0,6.0,0.217,0.163,0.113,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rowan-Salisbury Schools,West Rowan High,ENROLL,ALL,All Students (Total or Subtotal,120.0,669.0,51362.0,46.15384615384621,48.4431571325127,51.988460954501704
810324,H,Chase High School,Rutherford County Schools,0.884,0.212,0.192,0.596,52.0,11.0,0.25,0.10099999999999999,0.09699999999999999,0.932,0.19,0.19,0.62,41.0,8.0,0.282,0.122,0.062,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rutherford County Schools,Chase High School,ENROLL,ALL,All Students (Total or Subtotal,99.0,317.0,51362.0,65.5629139072848,56.4056939501779,51.988460954501704
